standard|Consistency beats perfection every time.	
standard|Progress starts with the courage to try.	
standard|Your effort today shapes your tomorrow.	
standard|Trust the process; growth takes time.	
standard|Everyday is another chance to improve.	
standard|Good habits are made one choice at a time.	
standard|A little progress each day adds up to big results.	
standard|Your hard work is planting the seeds for your success.	
standard|Keep showing up for yourself--you deserve the effort.	
standard|Keep talking small steps; they will lead you to somewhere big.	
standard|Celebrate your small wins--they matter.	
standard|You're building habits that in the future you will thank you for.	
standard|You're capable of more than you think.	
standard|Small progress is still progress--keep moving.	
standard|Every step forward builds your momentum.	
standard|It's okay to go slow, just don't stop.
standard|You have everything you need to try again today.	
standard|One day at a time, one goal at a time.
standard|You're doing better than you think.	
standard|You're building a future you can be proud of.	
harsh|Your goals are waiting--where have you been?	
harsh|If you started when you first said you would, you'd be done by now.
harsh|You're not tired. You're just avoiding the work.	
harsh|Excuses don't produce results--effort does.	
harsh|You said 'tomorrow' too many times.	
harsh|Success doesn't take long--procastination does.	
harsh|Your goals didn't ghost you. You ghosted them.	
harsh|You can't complain about results you didn't work for.	
harsh|You're one week of effort away from progress, but keep choosing zero.
harsh|Discipline is doing what needs to be done even when you don't feel like it--where is yours?	
harsh|Dreams don't work unless you do. Right now, they're unemployed.
harsh|You can't stay inconsistent and expect consistent results.	
harsh|You're not stuck--you're just delaying.	
harsh|Your comfort zone called. It's not helping you.	
harsh|Imagine where you'd be if you stopped restarting.	
firm|Show up today--your goals won't wait for you	
firm|Missing one day is normal; missing two is a choice	
firm|Hold yourself accountable--your progress depends on it.	
firm|Discipline grows every time you choose to show up	
firm|It's time to get back on track--no excuses.	
firm|You promised yourself improvement. Keep that promise	
firm|Consistency is built daily--start again now.	
firm|You won't always be motivational; learn to be committed.	
firm|You don't need perfect days--just present effort.	
firm|Push yourself. No one else will do it for you.	
firm|If you want results, you have to earn them today.
firm|Accountability is doing the work, not talking about it.
firm|Return to your routine--the longer you wait, the harder it gets.
firm|Your goals need your action today, not tomorrow.
firm|One good day can restart your momentum--make this one count.	